prompt,choices,answer
"Played 20 seasons all with the Yankees. 3,465 hits. 5 rings.","Derek Jeter|Bernie Williams|Mariano Rivera|Jorge Posada",Derek Jeter
"Switch-hitter. 1999 NL MVP. Entire career in Atlanta.","Chipper Jones|Andruw Jones|Dale Murphy|David Justice",Chipper Jones
"Won Cy Young in both leagues. Pitched into his 40s.","Roger Clemens|Pedro Martinez|Randy Johnson|Greg Maddux",Roger Clemens
"Two-way player. AL MVP. Threw a no-hitter AND hit 40+ HRs in the same season.","Shohei Ohtani|Babe Ruth|Mike Trout|Bryce Harper",Shohei Ohtani
"13 Gold Gloves at shortstop. Never won an MVP.","Ozzie Smith|Omar Vizquel|Cal Ripken|Derek Jeter",Ozzie Smith
"Pitched 5 scoreless relief innings in Game 7 of the 2014 World Series.","Madison Bumgarner|Tim Lincecum|Jeremy Affeldt|Hunter Strickland",Madison Bumgarner
"Threw the only perfect game in World Series history (1956).","Don Larsen|Sandy Koufax|Whitey Ford|Bob Gibson",Don Larsen
"Won the AL Triple Crown in 2012 — first since Yastrzemski in '67.","Miguel Cabrera|Mike Trout|Robinson Cano|Albert Pujols",Miguel Cabrera
"Won AL MVP and AL Cy Young in the same season (2011).","Justin Verlander|CC Sabathia|Felix Hernandez|David Price",Justin Verlander
"Hit the 'Shot Heard 'Round the World' in 1951.","Bobby Thomson|Joe DiMaggio|Willie Mays|Duke Snider",Bobby Thomson
"Career: Red Sox to Yankees. Won World Series with both.","Johnny Damon|Wade Boggs|Roger Clemens|Babe Ruth",Johnny Damon
"4 straight Cy Youngs in the 1990s. Signature glasses on the mound. Braves dynasty.","Greg Maddux|Tom Glavine|John Smoltz|Steve Avery",Greg Maddux
"Set the rookie home run record with 52 in 2017.","Aaron Judge|Cody Bellinger|Pete Alonso|Yordan Alvarez",Aaron Judge
"Broke that rookie HR record with 53 in 2019.","Pete Alonso|Aaron Judge|Yordan Alvarez|Mark McGwire",Pete Alonso
"7-time Cy Young winner — the most ever.","Roger Clemens|Greg Maddux|Randy Johnson|Steve Carlton",Roger Clemens
"Stole 130 bases in a single season (1982).","Rickey Henderson|Vince Coleman|Lou Brock|Tim Raines",Rickey Henderson
"Pitched a no-hitter at age 44, has the all-time strikeout record.","Nolan Ryan|Randy Johnson|Roger Clemens|Bartolo Colon",Nolan Ryan
"Caught the final out of the 1986 World Series for the Mets.","Gary Carter|Mike Scioscia|Tony Pena|Jody Davis",Gary Carter
"All-time saves leader with 652. Wore #42, retired league-wide alongside his.","Mariano Rivera|Trevor Hoffman|Lee Smith|Dennis Eckersley",Mariano Rivera
"Broke MLB's color barrier in 1947 with the Brooklyn Dodgers.","Jackie Robinson|Larry Doby|Roy Campanella|Satchel Paige",Jackie Robinson
"Broke Babe Ruth's career home run record in 1974.","Hank Aaron|Willie Mays|Frank Robinson|Roger Maris",Hank Aaron
"Hit 762 home runs — the all-time record.","Barry Bonds|Hank Aaron|Babe Ruth|Alex Rodriguez",Barry Bonds
"Played in 2,632 consecutive games — the streak Ripken broke.","Lou Gehrig|Cal Ripken Jr.|Steve Garvey|Pete Rose",Lou Gehrig
"Won 8 batting titles. Hit .394 in the strike-shortened 1994 season.","Tony Gwynn|Wade Boggs|Rod Carew|George Brett",Tony Gwynn
"10 consecutive 200-hit seasons — set the record.","Ichiro Suzuki|Pete Rose|Wade Boggs|Rod Carew",Ichiro Suzuki
"Posted a 1.74 ERA in 2000 — one of the lowest in modern history.","Pedro Martinez|Greg Maddux|Roger Clemens|Randy Johnson",Pedro Martinez
"Retired at age 30 with 3 Cy Youngs and a perfect game.","Sandy Koufax|Warren Spahn|Don Drysdale|Whitey Ford",Sandy Koufax
"Last player to hit over .400 — batted .406 in 1941.","Ted Williams|Joe DiMaggio|Stan Musial|Lou Gehrig",Ted Williams
"Called his shot during the 1932 World Series.","Babe Ruth|Lou Gehrig|Joe DiMaggio|Mickey Mantle",Babe Ruth
"3-time AL MVP. Played his entire career with the Angels.","Mike Trout|Vladimir Guerrero|Garret Anderson|Tim Salmon",Mike Trout
