player,season,stats,openingHint,hints
Jose Altuve,2017,.346 / 24 HR / 81 RBI / 32 SB,2017 AL season,AL West team|Listed at 5'6"|Won AL MVP
Todd Helton,2000,.372 / 42 HR / 147 RBI / 5 SB,2000 season,NL West team|First baseman|Played his whole career at altitude
Aaron Judge,2022,.311 / 62 HR / 131 RBI / 16 SB,2022 season,AL East team|Right fielder|Set the AL HR record
Bryce Harper,2015,.330 / 42 HR / 99 RBI / 6 SB,2015 season,NL East team|Right fielder|NL MVP at age 22
Tony Gwynn,1994,.394 / 12 HR / 64 RBI / 5 SB,Strike-shortened 1994,NL West team|Listed at 5'11"|Made 15 All-Star teams
Ichiro Suzuki,2004,.372 / 8 HR / 60 RBI / 36 SB,2004 AL season,AL West team|Outfielder|Set the single-season hits record (262)
Mookie Betts,2018,.346 / 32 HR / 80 RBI / 30 SB,2018 AL season,AL East team at the time|Right fielder|Won AL MVP
Cody Bellinger,2019,.305 / 47 HR / 115 RBI / 15 SB,2019 NL season,NL West team at the time|Outfielder|Won NL MVP at age 24
Christian Yelich,2018,.326 / 36 HR / 110 RBI / 22 SB,2018 NL season,NL Central team|Outfielder|Won NL MVP
Mike Trout,2016,.315 / 29 HR / 100 RBI / 30 SB,2016 AL season,AL West team|Center fielder|Won AL MVP — his second
Albert Pujols,2003,.359 / 43 HR / 124 RBI / 5 SB,2003 NL season,NL Central team at the time|First baseman|Finished 2nd in NL MVP voting
Chipper Jones,1999,.319 / 45 HR / 110 RBI / 25 SB,1999 NL season,Played his entire career with one team|Switch-hitting third baseman|Won NL MVP
Larry Walker,1997,.366 / 49 HR / 130 RBI / 33 SB,1997 NL season,NL West team|Outfielder|Won NL MVP playing at altitude
Adrian Beltre,2004,.334 / 48 HR / 121 RBI / 7 SB,2004 NL season,NL West team at the time|Third baseman|Finished 2nd in NL MVP voting
Pete Alonso,2019,.260 / 53 HR / 120 RBI / 1 SB,2019 NL season,NL East team|First baseman|Set the rookie HR record
Barry Bonds,2001,.328 / 73 HR / 137 RBI / 13 SB,2001 NL season,NL West team|Outfielder|Set the single-season HR record
Barry Bonds,2004,.362 / 45 HR / 101 RBI / 6 SB,2004 NL season,NL West team|Outfielder|Walked an unprecedented amount of times|Won his 4th straight MVP
Alex Rodriguez,2007,.314 / 54 HR / 156 RBI / 24 SB,2007 AL season,AL East team at the time|Played the corner|Won AL MVP for the third time
Vladimir Guerrero,2004,.337 / 39 HR / 126 RBI / 15 SB,2004 AL season,AL West team at the time|Right fielder|Won AL MVP in his first season with the team
Manny Ramirez,1999,.333 / 44 HR / 165 RBI / 2 SB,1999 AL season,AL Central team|Outfielder|Set a then-modern record for RBIs
Sammy Sosa,1998,.308 / 66 HR / 158 RBI / 18 SB,1998 NL season,NL Central team|Outfielder|Battled for the HR title|Won NL MVP
Mark McGwire,1998,.299 / 70 HR / 147 RBI / 1 SB,1998 NL season,NL Central team|First baseman|Broke Maris's HR record this year
Albert Belle,1995,.317 / 50 HR / 126 RBI / 5 SB,1995 AL season,AL Central team|Outfielder|First player ever with 50 HR + 50 2B
Frank Thomas,1994,.353 / 38 HR / 101 RBI / 2 SB,Strike-shortened 1994 AL,AL Central team|First baseman / DH|Won back-to-back AL MVPs
Ken Griffey Jr.,1997,.304 / 56 HR / 147 RBI / 15 SB,1997 AL season,AL West team|Center fielder|Won AL MVP
Miguel Cabrera,2012,.330 / 44 HR / 139 RBI / 4 SB,2012 AL season,AL Central team|Third baseman that year|Won the Triple Crown
Ichiro Suzuki,2001,.350 / 8 HR / 69 RBI / 56 SB,2001 AL season,AL West team|Outfielder|Won AL ROY and AL MVP in the same year
Jeff Bagwell,1994,.368 / 39 HR / 116 RBI / 15 SB,Strike-shortened 1994 NL,NL Central team|First baseman|Won unanimous NL MVP
Hank Aaron,1959,.355 / 39 HR / 123 RBI / 8 SB,1959 NL season,Played his whole prime in Milwaukee|Right fielder|Won NL MVP
Ted Williams,1941,.406 / 37 HR / 120 RBI / 2 SB,1941 AL season,AL East team|Last player to bat .400|Outfielder
