prompt,choices,answer
"Pitched the only perfect game in World Series history (Game 5, 1956).","Don Larsen|Whitey Ford|Sandy Koufax|Bob Gibson",Don Larsen
"Threw 7 career no-hitters and pitched until age 46.","Nolan Ryan|Randy Johnson|Roger Clemens|Sandy Koufax",Nolan Ryan
"Pitched a perfect game in 1965; retired at age 30 with 3 Cy Youngs.","Sandy Koufax|Don Drysdale|Warren Spahn|Whitey Ford",Sandy Koufax
"Recorded 652 career saves — the all-time leader.","Mariano Rivera|Trevor Hoffman|Lee Smith|Dennis Eckersley",Mariano Rivera
"Threw a postseason no-hitter in NLDS Game 1, 2010 — just the second ever.","Roy Halladay|Roy Oswalt|Cliff Lee|Cole Hamels",Roy Halladay
"Posted a 1.74 ERA in 2000 — one of the lowest of the live-ball era.","Pedro Martinez|Greg Maddux|Roger Clemens|Randy Johnson",Pedro Martinez
"Pitched 5 scoreless relief innings in Game 7 of the 2014 World Series, on two days rest.","Madison Bumgarner|Tim Lincecum|Jeremy Affeldt|Sergio Romo",Madison Bumgarner
"Struck out 20 batters in his fifth career start (May 6, 1998) at age 20.","Kerry Wood|Roger Clemens|Randy Johnson|Max Scherzer",Kerry Wood
"Posted a 1.12 ERA in 1968 — the year MLB lowered the mound the following season.","Bob Gibson|Denny McLain|Don Drysdale|Juan Marichal",Bob Gibson
"Threw a perfect game on Father's Day 1964; spent his career in Philadelphia.","Jim Bunning|Robin Roberts|Steve Carlton|Chris Short",Jim Bunning
